SeqName	Description	GO IDs	Enzyme Codes
plot1_0000562518_2	superoxide dismutase	F:GO:0004784; P:GO:0019430; F:GO:0046872; P:GO:0055114	EC:1.15.1.1
plot6_0000105987_2	sulfurtransferase	F:GO:0004792	EC:2.8.1.1
plot1_0000214610_1	lectin	F:GO:0030246	
plot30_0000043850_5	VOC family protein	F:GO:0003824	
plot36_0000508947_1	lectin	F:GO:0030246	
plot1_0000385530_1	PQQ-dependent dehydrogenase, methanol/ethanol family	F:GO:0005509; C:GO:0016020; F:GO:0052933; F:GO:0052934; P:GO:0055114	EC:1.1.2.7; EC:1.1.2.8
plot30_0000719299_1	Cache 3/Cache 2 fusion domain-containing protein	C:GO:0016020	
plot30_0000067364_6	hypothetical protein DME02_10280	F:GO:0016209; F:GO:0016491; P:GO:0055114; P:GO:0098869	
plot30_0000128413_5	lactonase family protein		
plot1_0000550110_1	fumarylacetoacetate hydrolase	F:GO:0016787	
plot36_0000013980_3	DUF4394 domain-containing protein	C:GO:0016020; C:GO:0016021	
plot30_0000100485_1	alpha/beta hydrolase	F:GO:0016787	
plot1_0000295348_3	RidA family protein	F:GO:0016787	
plot30_0000401505_3	MBL fold metallo-hydrolase		
plot1_0000042068_9	superoxide dismutase	F:GO:0004784; P:GO:0019430; F:GO:0046872; P:GO:0055114	EC:1.15.1.1
plot30_0000058404_4	alcohol dehydrogenase (cytochrome c)	F:GO:0052934	EC:1.1.2.8
plot36_0000279107_4	sugar ABC transporter substrate-binding protein	P:GO:0008643	
plot30_0000554884_2	ABC transporter substrate-binding protein		
plot30_0000295131_3	DUF1259 domain-containing protein		
plot1_0000299513_3	DUF1259 domain-containing protein		
plot30_0000026892_5	hypothetical protein		
plot1_0000283499_4	hypothetical protein		
plot6_0000286718_2	alpha/beta hydrolase	F:GO:0016787	
plot1_0000100234_5	MBL fold metallo-hydrolase	F:GO:0016787	
plot6_0000035320_3	DUF1259 domain-containing protein		
plot1_0000000100_30	MBL fold metallo-hydrolase	F:GO:0016787	
plot30_0000145493_1	DUF1259 domain-containing protein		
plot6_0000025096_3	lectin		
plot1_0000414243_1	PQQ-dependent dehydrogenase, methanol/ethanol family	F:GO:0005509; C:GO:0016020; F:GO:0018468; C:GO:0030288; P:GO:0055114	EC:1.1.99.8
plot30_0000455572_2	hypothetical protein AUJ01_00910		
plot30_0000492231_1	GYD domain-containing protein		
plot6_0000259874_2	lectin	F:GO:0030246	
plot1_0000395445_2	lectin	F:GO:0030246	
plot30_0000689623_2	lectin	F:GO:0030246	
plot30_0000471427_2	lectin	F:GO:0030246	
plot1_0000089733_6	nuclear transport factor 2 family protein	C:GO:0016020; C:GO:0016021	
plot36_0000054547_2	branched chain amino acid ABC transporter substrate-binding protein		
plot1_0000019280_10	superoxide dismutase	F:GO:0004784; P:GO:0019430; F:GO:0046872; P:GO:0055114	EC:1.15.1.1
plot30_0000400507_2	hypothetical protein DMG97_34635		
plot30_0000412442_2	MBL fold metallo-hydrolase		
plot1_0000002651_19	hypothetical protein		
plot1_0000270649_4	SDR family oxidoreductase		
plot30_0000377657_2	DUF1259 domain-containing protein	C:GO:0016021	
plot1_0000532404_2	DUF1259 domain-containing protein		
plot6_0000002410_9	NHL repeat-containing protein		
plot1_0000043465_4	lectin	F:GO:0030246	
plot1_0000443719_2	lectin	F:GO:0030246	
plot1_0000209703_3	DUF1259 domain-containing protein		
plot1_0000641449_3	MBL fold metallo-hydrolase		
plot1_0000000653_17	lectin	F:GO:0030246	
plot1_0000460880_4	sugar ABC transporter substrate-binding protein		
plot30_0000373939_2	alpha/beta hydrolase	F:GO:0016787	
plot1_0000165385_5	hypothetical protein		
plot30_0000141933_6	hypothetical protein DME16_16960		
plot1_0000691679_3	lectin	F:GO:0030246	
plot30_0000057765_5	sulfurtransferase	F:GO:0004792	EC:2.8.1.1
plot1_0000652611_3	DUF1259 domain-containing protein		
plot1_0000648271_3	hypothetical protein BZY87_09055		
plot30_0000268980_3	antibiotic biosynthesis monooxygenase	F:GO:0004497; P:GO:0055114	
plot1_0000482831_1	fumarylacetoacetate hydrolase	F:GO:0016787; F:GO:0016853	
plot30_0000555538_2	sugar ABC transporter substrate-binding protein	P:GO:0008643	
plot1_0000333534_5	chemotaxis protein		
plot30_0000256582_2	VOC family protein		
plot30_0000492913_3	PQQ-dependent dehydrogenase, methanol/ethanol family	F:GO:0005509; C:GO:0016020; F:GO:0016614; C:GO:0030288; P:GO:0055114	
plot1_0000435427_1	PQQ-dependent dehydrogenase, methanol/ethanol family	F:GO:0005509; C:GO:0016020; F:GO:0016614; C:GO:0030288; P:GO:0055114	
plot1_0000052817_4	N-acyl homoserine lactonase family protein	C:GO:0016020	
plot36_0000055953_4	MBL fold metallo-hydrolase		
plot1_0000137931_4	hypothetical protein		
plot1_0000441512_1	fructose bisphosphate aldolase	F:GO:0004332; P:GO:0006096	EC:4.1.2.13
plot36_0000501906_1	MBL fold metallo-hydrolase		
plot30_0000633849_1	branched-chain amino acid ABC transporter substrate-binding protein	C:GO:0016021	
plot36_0000428712_2	---NA---		
plot30_0000528963_3	GAF domain-containing protein		
plot1_0000175641_2	alpha/beta hydrolase	F:GO:0016787	
plot1_0000062945_2	sulfurtransferase	F:GO:0004792	EC:2.8.1.1
plot30_0000294695_5	hypothetical protein ETSY2_28620		
plot30_0000122165_1	hypothetical protein DMG30_29470	C:GO:0016021	
plot30_0000220551_2	lectin		
plot1_0000701930_1	pyrrolo-quinoline quinone	F:GO:0052934	EC:1.1.2.8
plot1_0000403373_1	sugar ABC transporter substrate-binding protein		
plot1_0000301663_5	O-acetylhomoserine aminocarboxypropyltransferase	F:GO:0003961; F:GO:0003962; F:GO:0016787; F:GO:0030170; P:GO:0071266	EC:2.5.1.49; EC:2.5.1.48
plot1_0000000216_64	alcohol dehydrogenase	F:GO:0005509; C:GO:0016020; F:GO:0016614; P:GO:0055114	
plot6_0000144836_1	hypothetical protein		
plot36_0000052313_10	PQQ-dependent dehydrogenase, methanol/ethanol family	F:GO:0005509; C:GO:0016020; F:GO:0016614; C:GO:0030288; P:GO:0055114	
plot1_0000360793_3	alpha/beta hydrolase	F:GO:0016787	
plot1_0000351249_2	sugar ABC transporter substrate-binding protein		
plot6_0000072568_2	group 1 truncated hemoglobin	F:GO:0019825; F:GO:0020037	
plot1_0000235953_1	phosphatase PAP2 family protein	C:GO:0016021	
plot1_0000308118_1	group 1 truncated hemoglobin	F:GO:0019825; F:GO:0020037	
plot1_0000016005_5	branched chain amino acid ABC transporter substrate-binding protein		
plot1_0000650678_2	lectin	F:GO:0030246	
plot1_0000011490_1	lectin	F:GO:0030246	
plot1_0000319029_3	BMP family ABC transporter substrate-binding protein	C:GO:0005886; P:GO:0008643	
plot1_0000047816_7	MBL fold metallo-hydrolase		
plot1_0000161831_1	MBL fold metallo-hydrolase		
plot1_0000002651_21	hypothetical protein		
plot36_0000113742_5	lectin	F:GO:0030246	
plot30_0000015819_13	hypothetical protein		
plot6_0000113508_1	alcohol dehydrogenase	F:GO:0005509; C:GO:0016020; F:GO:0016614; P:GO:0055114	
plot30_0000336817_1	extracellular solute-binding protein	P:GO:0008643	
plot36_0000131117_1	hypothetical protein AUH89_06545	F:GO:0009055; F:GO:0020037; P:GO:0022900; F:GO:0046872	
plot30_0000009428_2	hypothetical protein DMD83_26040		
plot36_0000147719_3	lectin	F:GO:0030246	
plot30_0000009046_4	sugar ABC transporter substrate-binding protein		
plot1_0000689756_3	cupin domain-containing protein		
plot1_0000133194_2	cupin domain-containing protein		
plot1_0000007925_6	cupin domain-containing protein		
plot1_0000000639_18	cupin domain-containing protein		
plot1_0000088815_5	lectin		
plot1_0000109200_3	alcohol dehydrogenase	F:GO:0005509; C:GO:0016020; F:GO:0016614; P:GO:0055114	
plot6_0000102177_1	hypothetical protein EHM55_09470, partial		
plot6_0000018547_2	cupin	F:GO:0051213; P:GO:0055114	
plot1_0000000104_89	group 1 truncated hemoglobin	F:GO:0019825; F:GO:0020037	
plot6_0000146073_1	alpha/beta hydrolase	F:GO:0016787	
plot1_0000198911_6	carboxymethylenebutenolidase	F:GO:0016787	
plot1_0000042899_7	lectin		
plot36_0000315500_3	lectin	F:GO:0030246	
plot30_0000289010_2	RidA family protein	F:GO:0016787	
plot1_0000186852_2	RidA family protein	F:GO:0016787	
plot30_0000354119_3	---NA---		
plot1_0000001618_33	lectin		
plot1_0000559262_1	PQQ-dependent dehydrogenase, methanol/ethanol family	F:GO:0005509; C:GO:0016020; C:GO:0030288; F:GO:0052930; F:GO:0052931; F:GO:0052932; F:GO:0052935; F:GO:0052936; P:GO:0055114	EC:1.1.2.7; EC:1.1.2.8
plot1_0000503238_1	sugar ABC transporter substrate-binding protein		
plot1_0000143548_3	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase GatCAB subunit A	F:GO:0004040; F:GO:0016740; F:GO:0043864	EC:3.5.1.4
plot30_0000582970_3	PQQ-dependent dehydrogenase, methanol/ethanol family	F:GO:0005509; C:GO:0016020; F:GO:0016614; C:GO:0030288; P:GO:0055114	
plot30_0000195720_2	chemotaxis protein		
plot1_0000168288_4	methyl-accepting chemotaxis protein	C:GO:0016020	
plot1_0000378477_3	gluconolactonase	F:GO:0009055; C:GO:0016021; F:GO:0020037; P:GO:0022900; F:GO:0046872	
plot1_0000001712_26	hypothetical protein		
plot6_0000137173_4	hypothetical protein	F:GO:0016787	
plot30_0000168338_4	xanthine dehydrogenase family protein molybdopterin-binding subunit	C:GO:0016021; F:GO:0047121; P:GO:0055114	EC:1.3.99.16
plot1_0000171977_3	cupin	F:GO:0045735	
plot1_0000000456_16	lectin		
plot1_0000258536_3	N-acyl homoserine lactonase family protein	C:GO:0016020	
plot1_0000264746_1	methyl-accepting chemotaxis protein	C:GO:0016020	
plot1_0000313062_2	gluconolactonase		
plot30_0000123768_3	superoxide dismutase	F:GO:0004784; P:GO:0019430; F:GO:0046872; P:GO:0055114	EC:1.15.1.1
plot1_0000017184_1	PQQ-dependent dehydrogenase, methanol/ethanol family	F:GO:0005509; C:GO:0016020; F:GO:0016614; C:GO:0030288; P:GO:0055114	
plot1_0000352646_2	cytochrome C nitrite reductase	C:GO:0016020; C:GO:0016021	
plot30_0000316350_4	amidohydrolase	F:GO:0016787	
plot1_0000000608_20	PQQ-dependent dehydrogenase, methanol/ethanol family	F:GO:0005509; C:GO:0016020; F:GO:0016614; C:GO:0030288; P:GO:0055114	
plot1_0000276417_2	DUF1330 domain-containing protein	F:GO:0016740	
plot30_0000065016_1	DUF1330 domain-containing protein	F:GO:0016740	
plot1_0000000303_24	cupin	F:GO:0045735	
plot30_0000183158_4	fumarylacetoacetate hydrolase	F:GO:0016787	
plot30_0000119185_4	ABC transporter substrate-binding protein	P:GO:0006865	
plot1_0000000639_11	MBL fold metallo-hydrolase		
plot1_0000478659_1	MBL fold metallo-hydrolase	F:GO:0008270; F:GO:0008800; P:GO:0017001	EC:3.5.2.6
plot1_0000587196_2	hypothetical protein DMG30_05925		
plot6_0000207539_3	sugar ABC transporter substrate-binding protein		
plot30_0000023754_2	ABC transporter		
plot30_0000053492_5	cupin domain-containing protein		
plot30_0000039717_8	cupin domain-containing protein		
plot1_0000016228_19	lectin		
plot30_0000128829_5	peptide ABC transporter substrate-binding protein	F:GO:0004672; F:GO:0005524; P:GO:0006468; C:GO:0016020; C:GO:0016021; C:GO:0043190; P:GO:0055085	
plot30_0000080124_2	autoinducer 2 ABC transporter substrate-binding protein	C:GO:0043190	
plot1_0000148253_8	alpha/beta hydrolase	F:GO:0016787	
plot1_0000726243_2	alpha/beta hydrolase	F:GO:0016787	
plot30_0000214059_2	fructose bisphosphate aldolase	F:GO:0004332; P:GO:0006096	EC:4.1.2.13
plot1_0000725044_1	PQQ-dependent dehydrogenase, methanol/ethanol family	F:GO:0005509; C:GO:0016020; F:GO:0016614; C:GO:0030288; P:GO:0055114	
plot30_0000642306_2	heme-binding protein		
plot30_0000682112_1	PQQ-dependent dehydrogenase, methanol/ethanol family	F:GO:0005509; C:GO:0016020; F:GO:0016614; C:GO:0030288; P:GO:0055114	
plot6_0000009140_1	cytochrome C nitrite reductase		
plot30_0000442394_1	---NA---		
plot30_0000010987_9	xanthine dehydrogenase family protein subunit M	F:GO:0016491; P:GO:0055114; F:GO:0071949	
plot1_0000306096_2	heme-binding protein	F:GO:0016740	
plot6_0000237239_2	hypothetical protein DMD76_05320	F:GO:0004061; C:GO:0016021; P:GO:0019441	EC:3.5.1.9
plot1_0000051573_1	cyclase	F:GO:0004061; C:GO:0016020; P:GO:0019441	EC:3.5.1.9
plot36_0000401880_1	ABC transporter substrate-binding protein	C:GO:0043190; P:GO:0055085	
plot1_0000578978_2	thiol peroxidase	C:GO:0005623; F:GO:0008379; P:GO:0045454; P:GO:0055114; P:GO:0098869	EC:1.11.1; EC:1.11.1.15; EC:1.11.1.7
plot30_0000692528_1	thiol peroxidase	C:GO:0005623; F:GO:0008379; P:GO:0045454; P:GO:0055114; P:GO:0098869	EC:1.11.1; EC:1.11.1.15; EC:1.11.1.7
plot30_0000024395_6	hypothetical protein		
plot30_0000390162_3	lectin		
plot6_0000031167_4	DUF1501 domain-containing protein		
plot30_0000659201_1	methyl-accepting chemotaxis protein	C:GO:0016020	
plot1_0000304232_1	PQQ-dependent dehydrogenase, methanol/ethanol family	F:GO:0005509; C:GO:0016020; F:GO:0016614; P:GO:0055114	
plot1_0000078668_1	VOC family protein	F:GO:0051213; P:GO:0055114	
plot30_0000098658_3	VOC family protein	F:GO:0051213; P:GO:0055114	
plot30_0000670181_3	cupin domain-containing protein		
plot1_0000539709_3	hypothetical protein EHM67_16380		
plot36_0000009251_12	lectin	F:GO:0030246	
plot6_0000014658_2	lectin	F:GO:0030246	
plot1_0000679200_3	haloalkane dehalogenase	F:GO:0018786	EC:3.8.1.5
plot1_0000025621_8	xanthine dehydrogenase family protein molybdopterin-binding subunit	C:GO:0016021; F:GO:0047121; P:GO:0055114	EC:1.3.99.16
plot1_0000129967_3	ABC transporter substrate-binding protein	P:GO:0006865	
plot36_0000252046_3	sugar ABC transporter substrate-binding protein		
plot30_0000030504_1	urea ABC transporter substrate-binding protein		
plot1_0000228105_5	GYD family protein		
plot30_0000380139_2	GYD domain-containing protein		
plot30_0000632237_2	GYD domain-containing protein		
plot6_0000015964_7	sugar ABC transporter substrate-binding protein	P:GO:0008643	
plot30_0000476804_1	autoinducer 2 ABC transporter substrate-binding protein	C:GO:0043190	
plot1_0000040545_3	hypothetical protein	F:GO:0016810; F:GO:0019213	
plot30_0000381896_2	hypothetical protein AUI16_09165		
plot30_0000286919_3	hypothetical protein AUI16_09165		
plot30_0000160234_3	hypothetical protein AUI16_09165		
plot30_0000655937_2	hypothetical protein AUI16_09165		
plot30_0000159980_2	hypothetical protein		
plot1_0000159720_3	sugar ABC transporter substrate-binding protein		
plot36_0000495105_2	lectin		
plot1_0000048614_5	SMP-30/gluconolactonase/LRE family protein	F:GO:0004341	EC:3.1.1.17; EC:3.1.1.1
plot30_0000473121_1	PQQ-dependent dehydrogenase, methanol/ethanol family	F:GO:0005509; C:GO:0016020; F:GO:0016614; C:GO:0030288; P:GO:0055114	
plot30_0000535190_3	amidohydrolase	F:GO:0016787; F:GO:0016831	
plot30_0000253499_2	acetamidase/formamidase family protein	F:GO:0004328	EC:3.5.1.49
plot1_0000058842_5	alpha/beta hydrolase	F:GO:0016787	
plot1_0000001962_28	hypothetical protein	F:GO:0016810	
plot30_0000327416_2	ribose ABC transporter substrate-binding protein	P:GO:0008643	
plot6_0000254729_2	PQQ-dependent dehydrogenase, methanol/ethanol family	F:GO:0005509; C:GO:0016020; C:GO:0030288; F:GO:0052930; F:GO:0052931; F:GO:0052932; P:GO:0055114	EC:1.1.2.7
plot1_0000308796_3	PQQ-dependent dehydrogenase, methanol/ethanol family	F:GO:0005509; C:GO:0016020; F:GO:0016614; C:GO:0030288; P:GO:0055114	
plot36_0000191828_2	amino acid ABC transporter substrate-binding protein		
plot6_0000106531_3	lectin	F:GO:0030246	
plot36_0000012705_2	N-acyl homoserine lactonase family protein	C:GO:0016021	
plot36_0000047349_3	N-acyl homoserine lactonase family protein	C:GO:0016021	
plot6_0000277245_1	ABC transporter substrate-binding protein	P:GO:0006865	
plot36_0000267162_3	hypothetical protein C2W62_07170		
plot30_0000134051_4	SMP-30/gluconolactonase/LRE family protein		
plot36_0000474807_1	GYD domain-containing protein		
plot1_0000098576_1	PQQ-dependent dehydrogenase, methanol/ethanol family	F:GO:0005509; C:GO:0016020; F:GO:0018468; C:GO:0030288; P:GO:0055114	EC:1.1.99.8
plot36_0000076306_4	lectin	F:GO:0030246	
plot1_0000436069_3	hypothetical protein EHM67_15845		
plot30_0000479366_3	YbhB/YbcL family Raf kinase inhibitor-like protein	F:GO:0016301; P:GO:0016310	
plot1_0000682365_1	alcohol dehydrogenase (cytochrome c)	F:GO:0052934	EC:1.1.2.8
plot1_0000630273_2	branched chain amino acid ABC transporter substrate-binding protein		
plot30_0000038965_6	nuclear transport factor 2 family protein	C:GO:0016020; C:GO:0016021	
plot1_0000688277_1	cupin domain-containing protein		
plot30_0000557763_2	PQQ-dependent dehydrogenase, methanol/ethanol family	F:GO:0005509; C:GO:0016020; F:GO:0016614; C:GO:0030288; P:GO:0055114	
plot1_0000561873_2	NHL repeat-containing protein		
plot1_0000060712_2	lectin	F:GO:0030246	
plot1_0000042403_5	lectin	F:GO:0030246	
plot30_0000240413_2	peptidoglycan-associated lipoprotein	P:GO:0007049; C:GO:0009279; C:GO:0016021; P:GO:0051301	
plot1_0000098261_5	fumarylacetoacetate hydrolase	F:GO:0016787	
plot30_0000211437_1	antibiotic biosynthesis monooxygenase	F:GO:0004497; P:GO:0055114	
plot30_0000120868_4	hypothetical protein DMG13_07625	C:GO:0016021	
