SeqName	GO IDs
plot36_0000508947_1	F:GO:0030246
plot1_0000385530_1	F:GO:0005509; C:GO:0016020; F:GO:0052933; F:GO:0052934; P:GO:0055114
plot30_0000719299_1	C:GO:0016020
plot30_0000067364_6	F:GO:0016209; F:GO:0016491; P:GO:0055114; P:GO:0098869
plot30_0000128413_5	
plot1_0000550110_1	F:GO:0016787
plot36_0000013980_3	C:GO:0016020; C:GO:0016021
plot30_0000100485_1	F:GO:0016787
plot1_0000295348_3	F:GO:0016787
plot30_0000401505_3	
plot1_0000042068_9	F:GO:0004784; P:GO:0019430; F:GO:0046872; P:GO:0055114
plot30_0000058404_4	F:GO:0052934
plot36_0000279107_4	P:GO:0008643
plot30_0000554884_2	
plot30_0000295131_3	
plot1_0000299513_3	
plot30_0000026892_5	
plot1_0000283499_4	
plot6_0000286718_2	F:GO:0016787
plot1_0000100234_5	F:GO:0016787
plot6_0000035320_3	
plot1_0000000100_30	F:GO:0016787
plot30_0000145493_1	
plot6_0000025096_3	
plot1_0000414243_1	F:GO:0005509; C:GO:0016020; F:GO:0018468; C:GO:0030288; P:GO:0055114
plot30_0000455572_2	
plot30_0000492231_1	
plot6_0000259874_2	F:GO:0030246
plot1_0000395445_2	F:GO:0030246
plot30_0000689623_2	F:GO:0030246
plot30_0000471427_2	F:GO:0030246
plot1_0000089733_6	C:GO:0016020; C:GO:0016021
plot36_0000054547_2	
plot1_0000019280_10	F:GO:0004784; P:GO:0019430; F:GO:0046872; P:GO:0055114
plot30_0000400507_2	
plot30_0000412442_2	
plot1_0000002651_19	
plot1_0000270649_4	
plot30_0000377657_2	C:GO:0016021
plot1_0000532404_2	
plot6_0000002410_9	
plot1_0000043465_4	F:GO:0030246
plot1_0000443719_2	F:GO:0030246
plot1_0000209703_3	
plot1_0000641449_3	
plot1_0000000653_17	F:GO:0030246
plot1_0000460880_4	
plot30_0000373939_2	F:GO:0016787
plot1_0000165385_5	
plot30_0000141933_6	
plot1_0000691679_3	F:GO:0030246
plot30_0000057765_5	F:GO:0004792
plot1_0000652611_3	
plot1_0000648271_3	
plot30_0000268980_3	F:GO:0004497; P:GO:0055114
plot1_0000482831_1	F:GO:0016787; F:GO:0016853
plot30_0000555538_2	P:GO:0008643
plot1_0000333534_5	
plot30_0000256582_2	
plot30_0000492913_3	F:GO:0005509; C:GO:0016020; F:GO:0016614; C:GO:0030288; P:GO:0055114
plot1_0000435427_1	F:GO:0005509; C:GO:0016020; F:GO:0016614; C:GO:0030288; P:GO:0055114
plot1_0000052817_4	C:GO:0016020
plot36_0000055953_4	
plot1_0000137931_4	
plot1_0000441512_1	F:GO:0004332; P:GO:0006096
plot36_0000501906_1	
plot30_0000633849_1	C:GO:0016021
plot36_0000428712_2	
plot30_0000528963_3	
plot1_0000175641_2	F:GO:0016787
plot1_0000062945_2	F:GO:0004792
plot30_0000294695_5	
plot30_0000122165_1	C:GO:0016021
plot30_0000220551_2	
plot1_0000701930_1	F:GO:0052934
plot1_0000403373_1	
plot1_0000301663_5	F:GO:0003961; F:GO:0003962; F:GO:0016787; F:GO:0030170; P:GO:0071266
plot1_0000000216_64	F:GO:0005509; C:GO:0016020; F:GO:0016614; P:GO:0055114
plot6_0000144836_1	
plot36_0000052313_10	F:GO:0005509; C:GO:0016020; F:GO:0016614; C:GO:0030288; P:GO:0055114
plot1_0000360793_3	F:GO:0016787
plot1_0000351249_2	
plot6_0000072568_2	F:GO:0019825; F:GO:0020037
plot1_0000235953_1	C:GO:0016021
plot1_0000308118_1	F:GO:0019825; F:GO:0020037
plot1_0000016005_5	
plot1_0000650678_2	F:GO:0030246
plot1_0000011490_1	F:GO:0030246
plot1_0000319029_3	C:GO:0005886; P:GO:0008643
plot1_0000047816_7	
plot1_0000161831_1	
plot1_0000002651_21	
plot36_0000113742_5	F:GO:0030246
plot30_0000015819_13	
plot6_0000113508_1	F:GO:0005509; C:GO:0016020; F:GO:0016614; P:GO:0055114
plot30_0000336817_1	P:GO:0008643
plot36_0000131117_1	F:GO:0009055; F:GO:0020037; P:GO:0022900; F:GO:0046872
plot30_0000009428_2	
plot36_0000147719_3	F:GO:0030246
plot30_0000009046_4	
plot1_0000689756_3	
plot1_0000133194_2	
plot1_0000007925_6	
plot1_0000000639_18	
plot1_0000088815_5	
plot1_0000109200_3	F:GO:0005509; C:GO:0016020; F:GO:0016614; P:GO:0055114
plot6_0000102177_1	
plot6_0000018547_2	F:GO:0051213; P:GO:0055114
plot1_0000000104_89	F:GO:0019825; F:GO:0020037
plot6_0000146073_1	F:GO:0016787
plot1_0000198911_6	F:GO:0016787
plot1_0000042899_7	
plot36_0000315500_3	F:GO:0030246
plot30_0000289010_2	F:GO:0016787
plot1_0000186852_2	F:GO:0016787
plot30_0000354119_3	
plot1_0000001618_33	
plot1_0000559262_1	F:GO:0005509; C:GO:0016020; C:GO:0030288; F:GO:0052930; F:GO:0052931; F:GO:0052932; F:GO:0052935; F:GO:0052936; P:GO:0055114
plot1_0000503238_1	
plot1_0000143548_3	F:GO:0004040; F:GO:0016740; F:GO:0043864
plot30_0000582970_3	F:GO:0005509; C:GO:0016020; F:GO:0016614; C:GO:0030288; P:GO:0055114
plot30_0000195720_2	
plot1_0000168288_4	C:GO:0016020
plot1_0000378477_3	F:GO:0009055; C:GO:0016021; F:GO:0020037; P:GO:0022900; F:GO:0046872
plot1_0000001712_26	
plot6_0000137173_4	F:GO:0016787
plot30_0000168338_4	C:GO:0016021; F:GO:0047121; P:GO:0055114
plot1_0000171977_3	F:GO:0045735
plot1_0000000456_16	
plot1_0000258536_3	C:GO:0016020
plot1_0000264746_1	C:GO:0016020
plot1_0000313062_2	
plot30_0000123768_3	F:GO:0004784; P:GO:0019430; F:GO:0046872; P:GO:0055114
plot1_0000017184_1	F:GO:0005509; C:GO:0016020; F:GO:0016614; C:GO:0030288; P:GO:0055114
plot1_0000352646_2	C:GO:0016020; C:GO:0016021
plot30_0000316350_4	F:GO:0016787
plot1_0000000608_20	F:GO:0005509; C:GO:0016020; F:GO:0016614; C:GO:0030288; P:GO:0055114
plot1_0000276417_2	F:GO:0016740
plot30_0000065016_1	F:GO:0016740
plot1_0000000303_24	F:GO:0045735
plot30_0000183158_4	F:GO:0016787
plot30_0000119185_4	P:GO:0006865
plot1_0000000639_11	
plot1_0000478659_1	F:GO:0008270; F:GO:0008800; P:GO:0017001
plot1_0000587196_2	
plot6_0000207539_3	
plot30_0000023754_2	
plot30_0000053492_5	
plot30_0000039717_8	
plot1_0000016228_19	
plot30_0000128829_5	F:GO:0004672; F:GO:0005524; P:GO:0006468; C:GO:0016020; C:GO:0016021; C:GO:0043190; P:GO:0055085
plot30_0000080124_2	C:GO:0043190
plot1_0000148253_8	F:GO:0016787
plot1_0000726243_2	F:GO:0016787
plot30_0000214059_2	F:GO:0004332; P:GO:0006096
plot1_0000725044_1	F:GO:0005509; C:GO:0016020; F:GO:0016614; C:GO:0030288; P:GO:0055114
plot30_0000642306_2	
plot30_0000682112_1	F:GO:0005509; C:GO:0016020; F:GO:0016614; C:GO:0030288; P:GO:0055114
plot6_0000009140_1	
plot30_0000442394_1	
plot30_0000010987_9	F:GO:0016491; P:GO:0055114; F:GO:0071949
plot1_0000306096_2	F:GO:0016740
plot6_0000237239_2	F:GO:0004061; C:GO:0016021; P:GO:0019441
plot1_0000051573_1	F:GO:0004061; C:GO:0016020; P:GO:0019441
plot36_0000401880_1	C:GO:0043190; P:GO:0055085
plot1_0000578978_2	C:GO:0005623; F:GO:0008379; P:GO:0045454; P:GO:0055114; P:GO:0098869
plot30_0000692528_1	C:GO:0005623; F:GO:0008379; P:GO:0045454; P:GO:0055114; P:GO:0098869
plot30_0000024395_6	
plot30_0000390162_3	
plot6_0000031167_4	
plot30_0000659201_1	C:GO:0016020
plot1_0000304232_1	F:GO:0005509; C:GO:0016020; F:GO:0016614; P:GO:0055114
plot1_0000078668_1	F:GO:0051213; P:GO:0055114
plot30_0000098658_3	F:GO:0051213; P:GO:0055114
plot30_0000670181_3	
plot1_0000539709_3	
plot36_0000009251_12	F:GO:0030246
plot6_0000014658_2	F:GO:0030246
plot1_0000679200_3	F:GO:0018786
plot1_0000025621_8	C:GO:0016021; F:GO:0047121; P:GO:0055114
plot1_0000129967_3	P:GO:0006865
plot36_0000252046_3	
plot30_0000030504_1	
plot1_0000228105_5	
plot30_0000380139_2	
plot30_0000632237_2	
plot6_0000015964_7	P:GO:0008643
plot30_0000476804_1	C:GO:0043190
plot1_0000040545_3	F:GO:0016810; F:GO:0019213
plot30_0000381896_2	
plot30_0000286919_3	
plot30_0000160234_3	
plot30_0000655937_2	
plot30_0000159980_2	
plot1_0000159720_3	
plot36_0000495105_2	
plot1_0000048614_5	F:GO:0004341
plot30_0000473121_1	F:GO:0005509; C:GO:0016020; F:GO:0016614; C:GO:0030288; P:GO:0055114
plot30_0000535190_3	F:GO:0016787; F:GO:0016831
plot30_0000253499_2	F:GO:0004328
plot1_0000058842_5	F:GO:0016787
plot1_0000001962_28	F:GO:0016810
plot30_0000327416_2	P:GO:0008643
plot6_0000254729_2	F:GO:0005509; C:GO:0016020; C:GO:0030288; F:GO:0052930; F:GO:0052931; F:GO:0052932; P:GO:0055114
plot1_0000308796_3	F:GO:0005509; C:GO:0016020; F:GO:0016614; C:GO:0030288; P:GO:0055114
plot36_0000191828_2	
plot6_0000106531_3	F:GO:0030246
plot36_0000012705_2	C:GO:0016021
plot36_0000047349_3	C:GO:0016021
plot6_0000277245_1	P:GO:0006865
plot36_0000267162_3	
plot30_0000134051_4	
plot36_0000474807_1	
plot1_0000098576_1	F:GO:0005509; C:GO:0016020; F:GO:0018468; C:GO:0030288; P:GO:0055114
plot36_0000076306_4	F:GO:0030246
plot1_0000436069_3	
plot30_0000479366_3	F:GO:0016301; P:GO:0016310
plot1_0000682365_1	F:GO:0052934
plot1_0000630273_2	
plot30_0000038965_6	C:GO:0016020; C:GO:0016021
plot1_0000688277_1	
plot30_0000557763_2	F:GO:0005509; C:GO:0016020; F:GO:0016614; C:GO:0030288; P:GO:0055114
plot1_0000561873_2	
plot1_0000060712_2	F:GO:0030246
plot1_0000042403_5	F:GO:0030246
plot30_0000240413_2	P:GO:0007049; C:GO:0009279; C:GO:0016021; P:GO:0051301
plot1_0000098261_5	F:GO:0016787
plot30_0000211437_1	F:GO:0004497; P:GO:0055114
plot30_0000120868_4	C:GO:0016021
plot1_0000025621_7	F:GO:0005509; C:GO:0016021; F:GO:0016614; P:GO:0055114
plot30_0000020317_6	F:GO:0005509; C:GO:0016021; F:GO:0016614; P:GO:0055114
plot30_0000007922_5	
plot6_0000270978_3	
plot1_0000563202_1	C:GO:0016021; F:GO:0030246
plot1_0000560975_2	
plot36_0000096759_3	
plot1_0000449638_3	F:GO:0016829; F:GO:0051213; P:GO:0055114
plot1_0000000350_65	F:GO:0052934
plot6_0000186038_3	
plot6_0000236808_1	F:GO:0005215
plot6_0000019488_4	
plot1_0000011373_16	
plot1_0000057251_1	F:GO:0005509; C:GO:0016020; F:GO:0016614; C:GO:0030288; P:GO:0055114
plot1_0000070285_4	F:GO:0016810; F:GO:0019213
plot30_0000005822_19	F:GO:0016787
plot1_0000000868_26	C:GO:0016020; C:GO:0016021; F:GO:0016787
plot30_0000429474_2	F:GO:0051213; P:GO:0055114
plot6_0000026568_6	
plot1_0000628110_2	
plot1_0000616863_4	F:GO:0030246
plot1_0000119909_5	P:GO:0006662; C:GO:0009536; F:GO:0015035; P:GO:0045454; P:GO:0055114
plot1_0000000169_38	F:GO:0030246
plot1_0000195353_1	F:GO:0030246
plot6_0000109394_3	C:GO:0016020
plot30_0000384318_2	
plot1_0000218360_4	C:GO:0016021; F:GO:0030246
plot1_0000191998_3	F:GO:0016810
plot1_0000291237_1	
plot30_0000110164_4	
plot1_0000090494_7	C:GO:0016020
plot1_0000422215_2	F:GO:0005509; C:GO:0016020; F:GO:0018468; C:GO:0030288; P:GO:0055114
plot30_0000055892_6	F:GO:0005488; C:GO:0016020
plot30_0000412225_1	F:GO:0005509; C:GO:0016020; F:GO:0016614; C:GO:0030288; P:GO:0055114
plot30_0000211481_2	
plot1_0000114504_2	F:GO:0016787
plot1_0000003250_29	F:GO:0008806
plot6_0000090963_1	
plot1_0000113017_1	F:GO:0009055; F:GO:0020037; P:GO:0022900; F:GO:0046872
plot1_0000173055_4	P:GO:0006865
plot36_0000374634_1	
plot6_0000247562_2	C:GO:0016020; C:GO:0016021
plot30_0000691768_2	P:GO:0000160
plot30_0000095311_6	F:GO:0003824; F:GO:0050662
plot30_0000183291_4	P:GO:0008643
plot6_0000160256_2	C:GO:0016021
plot30_0000102555_5	F:GO:0004341; F:GO:0016787
plot1_0000062272_7	F:GO:0016491; P:GO:0055114
plot1_0000610769_2	C:GO:0016021
plot6_0000100786_1	F:GO:0016787
plot30_0000203164_1	F:GO:0004040; F:GO:0016740; F:GO:0043864
plot30_0000280448_5	
plot1_0000109329_6	
plot30_0000043395_5	
plot30_0000032323_5	
plot1_0000028759_11	F:GO:0016787
plot1_0000641835_2	F:GO:0004061; C:GO:0016021; P:GO:0019441
plot1_0000592356_1	F:GO:0004065
plot30_0000584656_2	
plot1_0000123598_4	F:GO:0004784; C:GO:0005737; P:GO:0019430; F:GO:0046872; P:GO:0055114
plot6_0000103982_1	
plot1_0000665060_3	F:GO:0004497; P:GO:0055114
plot1_0000051913_6	
plot1_0000057046_8	F:GO:0004332; P:GO:0006096
plot1_0000399910_2	C:GO:0043190
plot30_0000695115_2	
plot36_0000259976_1	F:GO:0005509; C:GO:0016020; F:GO:0016614; C:GO:0030288; P:GO:0055114
plot1_0000602792_2	P:GO:0008643
plot36_0000036925_11	
plot1_0000103728_4	F:GO:0003824; C:GO:0016021; F:GO:0046872
plot1_0000558412_1	
plot6_0000233510_1	F:GO:0016787
plot1_0000166612_3	
plot6_0000031992_2	F:GO:0052934
plot6_0000252343_1	F:GO:0005509; C:GO:0016020; C:GO:0030288; F:GO:0052930; F:GO:0052931; F:GO:0052932; P:GO:0055114
plot36_0000101724_3	F:GO:0004328
plot30_0000039707_1	
plot1_0000486626_3	
plot1_0000041947_8	
plot1_0000000040_70	
plot1_0000058604_4	F:GO:0005509; C:GO:0016020; F:GO:0016614; C:GO:0030288; P:GO:0055114
plot36_0000053908_5	F:GO:0003824
plot1_0000002435_25	C:GO:0016021
plot30_0000187048_8	F:GO:0008806
plot30_0000649818_2	F:GO:0030246
plot1_0000244547_1	F:GO:0030246
plot6_0000062506_1	
plot1_0000606811_2	
plot1_0000003210_14	F:GO:0016787
plot1_0000544066_2	F:GO:0004784; P:GO:0019430; F:GO:0046872; P:GO:0055114
plot6_0000046404_4	C:GO:0016021
plot1_0000401303_2	C:GO:0016020; C:GO:0016021
plot1_0000000150_52	C:GO:0016020; F:GO:0030246
plot1_0000571939_2	F:GO:0016787
plot36_0000059652_7	F:GO:0030246
plot36_0000259639_1	F:GO:0016787
plot1_0000498541_2	F:GO:0005509; C:GO:0016020; F:GO:0052935; P:GO:0055114
plot1_0000137931_2	
plot1_0000501239_1	F:GO:0008876; F:GO:0016491; P:GO:0055114
plot30_0000290202_1	C:GO:0030288; P:GO:0055085
plot1_0000288061_4	F:GO:0016787
plot6_0000184413_2	
plot30_0000083122_3	
plot6_0000056024_2	
plot1_0000215399_4	F:GO:0004427; C:GO:0009279; C:GO:0016020; C:GO:0016021; F:GO:0016787
plot1_0000605623_1	F:GO:0005509; C:GO:0016020; F:GO:0016614; C:GO:0030288; P:GO:0055114
plot1_0000506996_4	C:GO:0016021
plot36_0000099394_1	P:GO:0006865; C:GO:0016021
plot1_0000140754_3	F:GO:0052934
plot30_0000074200_5	F:GO:0005509; C:GO:0016020; F:GO:0016614; C:GO:0030288; P:GO:0055114
plot1_0000271777_2	F:GO:0016491; P:GO:0055114
plot1_0000352939_3	
plot1_0000024934_12	F:GO:0005509; C:GO:0016020; F:GO:0016614; C:GO:0030288; P:GO:0055114
plot30_0000012706_14	F:GO:0016787
plot30_0000126504_2	F:GO:0016811
plot30_0000223847_2	F:GO:0016787
plot1_0000046006_6	F:GO:0030246
plot30_0000240976_4	
plot30_0000628286_3	F:GO:0004784; P:GO:0019430; F:GO:0046872; P:GO:0055114
plot1_0000119292_6	F:GO:0005509; C:GO:0016020; F:GO:0016614; C:GO:0030288; P:GO:0055114
plot1_0000607799_2	
plot1_0000002591_18	F:GO:0005509; C:GO:0016020; F:GO:0016614; P:GO:0055114
plot1_0000257537_1	C:GO:0043190
plot30_0000028782_9	F:GO:0042301
plot1_0000034959_11	
plot1_0000605385_1	F:GO:0016787
plot6_0000278538_2	P:GO:0009987; C:GO:0016020
plot6_0000001168_24	F:GO:0005509; C:GO:0016020; F:GO:0016614; C:GO:0030288; P:GO:0055114
plot1_0000128539_3	F:GO:0005509; C:GO:0016020; F:GO:0052935; P:GO:0055114
plot1_0000100298_5	
plot30_0000520391_2	
plot6_0000015487_6	F:GO:0005215
plot1_0000014495_10	F:GO:0052934
plot1_0000248853_1	F:GO:0003824; C:GO:0016020; C:GO:0016021
plot30_0000173139_2	F:GO:0004784; P:GO:0019430; F:GO:0046872; P:GO:0055114
plot36_0000106521_2	
plot6_0000174795_3	P:GO:0006865
plot30_0000236391_4	C:GO:0016020; F:GO:0030246
plot1_0000074775_1	C:GO:0016021
plot1_0000689618_2	C:GO:0016021
plot30_0000122431_1	
plot1_0000687775_1	
plot1_0000156008_3	F:GO:0016491; P:GO:0055114; F:GO:0071949
plot1_0000179113_3	F:GO:0004096; P:GO:0006979; F:GO:0020037; F:GO:0046872; P:GO:0055114; P:GO:0098869
plot1_0000216056_3	P:GO:0006865
plot30_0000243480_1	F:GO:0005509; C:GO:0016020; F:GO:0016614; C:GO:0030288; P:GO:0055114
plot1_0000036844_7	
plot1_0000008807_16	F:GO:0004784; C:GO:0005737; P:GO:0019430; F:GO:0046872; P:GO:0055114
plot30_0000333213_1	
plot1_0000100622_8	F:GO:0005509; C:GO:0016020; F:GO:0016614; P:GO:0055114
plot36_0000258671_2	
plot1_0000153545_5	F:GO:0005509; C:GO:0016020; F:GO:0016614; C:GO:0030288; P:GO:0055114
plot36_0000021179_2	F:GO:0030246
plot1_0000648879_3	F:GO:0030246
plot30_0000076401_7	
plot1_0000257824_1	
plot1_0000449190_2	
plot1_0000554793_3	F:GO:0005509; C:GO:0016020; F:GO:0016614; C:GO:0030288; P:GO:0055114
plot1_0000604649_1	F:GO:0018468; F:GO:0052930; F:GO:0052931; F:GO:0052932; F:GO:0052935; F:GO:0052936; P:GO:0055114
plot36_0000393601_1	
plot30_0000515555_1	
plot1_0000416547_3	
plot1_0000002251_7	
plot30_0000005185_11	
plot1_0000000032_63	F:GO:0030246
plot30_0000434065_3	
plot30_0000628801_3	
plot30_0000091493_2	F:GO:0008876; P:GO:0055114
plot30_0000109754_3	C:GO:0043190
plot30_0000611157_2	F:GO:0016787
plot30_0000066577_5	F:GO:0016810
plot30_0000054568_1	F:GO:0016787
plot36_0000102021_6	
plot30_0000590302_1	F:GO:0009055; F:GO:0020037; P:GO:0022900; F:GO:0046872
plot36_0000139736_5	
plot1_0000053823_8	
plot1_0000224943_4	
plot1_0000007556_23	F:GO:0004332; P:GO:0006096
plot36_0000104766_1	
plot1_0000104105_1	
plot30_0000593044_3	
plot36_0000064961_5	F:GO:0005509; C:GO:0016020; F:GO:0016614; P:GO:0055114
plot30_0000062585_5	F:GO:0005509; C:GO:0016020; F:GO:0016614; C:GO:0030288; P:GO:0055114
plot30_0000014885_7	F:GO:0016787
plot1_0000124777_2	C:GO:0016020; C:GO:0016021
plot36_0000066429_3	
plot1_0000014048_11	F:GO:0016301; P:GO:0016310
plot1_0000092019_1	F:GO:0016491; P:GO:0055114; F:GO:0071949
plot30_0000533961_1	F:GO:0005509; C:GO:0016020; F:GO:0016614; C:GO:0030288; P:GO:0055114
plot1_0000164649_3	
plot30_0000629106_2	C:GO:0016020; C:GO:0016021
plot30_0000701397_2	P:GO:0005975; P:GO:0006098; F:GO:0017057
plot1_0000680736_3	
plot1_0000625432_1	
plot30_0000320614_4	F:GO:0016829
plot30_0000520440_3	F:GO:0004332; P:GO:0006096
plot30_0000187648_2	
plot36_0000129188_4	F:GO:0005509; C:GO:0016020; F:GO:0016614; C:GO:0030288; P:GO:0055114
plot1_0000388307_3	F:GO:0005509; C:GO:0016020; F:GO:0016614; C:GO:0030288; P:GO:0055114
plot36_0000026332_3	C:GO:0016021
plot1_0000001483_27	F:GO:0030246
plot1_0000004988_3	F:GO:0030246
plot6_0000116786_3	
plot1_0000008692_13	
plot1_0000077242_6	F:GO:0016740
plot30_0000132626_1	
plot1_0000331637_2	
plot1_0000431635_1	F:GO:0005509; C:GO:0016020; F:GO:0016614; C:GO:0030288; P:GO:0055114
plot1_0000000448_61	F:GO:0016491; P:GO:0055114; F:GO:0071949
plot30_0000234226_1	
plot1_0000024389_10	P:GO:0035435; F:GO:0042301; C:GO:0043190
plot1_0000049334_3	F:GO:0052934
plot1_0000324193_1	
plot1_0000036690_2	
plot30_0000240181_2	
plot1_0000343455_2	F:GO:0016787
plot30_0000166557_1	C:GO:0016020; C:GO:0016021
plot1_0000264725_4	
plot1_0000028499_4	
plot30_0000133007_3	
plot1_0000415733_1	
plot6_0000030819_1	F:GO:0016787
plot1_0000393418_2	P:GO:0006865
plot1_0000642566_2	C:GO:0016021
plot30_0000355113_1	
plot1_0000726714_2	
plot1_0000077715_3	F:GO:0005509; C:GO:0016020; C:GO:0030288; F:GO:0052935; F:GO:0052936; P:GO:0055114
plot6_0000033614_2	F:GO:0005509; C:GO:0016020; F:GO:0052933; F:GO:0052934; P:GO:0055114
plot1_0000268945_1	
plot30_0000034523_10	F:GO:0016810
