SeqName	Description	GO IDs	Enzyme Codes
PYS34654.1	carboxypeptidase regulatory-like domain-containing protein		
PYS34152.1	NHL repeat-containing protein		
PYS32847.1	hypothetical protein DMG14_33370		
PYS32469.1	6-bladed beta-propeller		
PYS32073.1	hypothetical protein DMG14_35475		
PYS30392.1	hypothetical protein DMG11_05285		
PYS27525.1	hypothetical protein DMG11_16115		
PYS27354.1	hypothetical protein DMG11_16680		
PYS25964.1	outer membrane protein/peptidoglycan-associated (lipo)protein		
PYS24245.1	hypothetical protein DMG11_24530		
PYS23228.1	signal peptidase		
PYS20657.1	phage tail protein		
PYS20624.1	phage tail sheath family protein		
PYS18777.1	gluconolactonase		
PYS17206.1	heme-binding protein		
PYS14927.1	subclass B3 metallo-beta-lactamase		
PYS13875.1	hypothetical protein DMG20_03850		
PYS13263.1	hypothetical protein DMG17_19205		
PYS09291.1	VOC family protein		
PYS07833.1	NHL repeat-containing protein		
PYS07099.1	DUF1080 domain-containing protein		
PYS01287.1	YVTN family beta-propeller domain-containing protein		
PYR92927.1	MBL fold metallo-hydrolase		
PYR82788.1	hypothetical protein DMF87_00305		
PYR82159.1	gluconolactonase		
PYR79049.1	SMP-30/gluconolactonase/LRE family protein		
PYR77114.1	hypothetical protein DMF87_16775		
PYR76437.1	Right handed beta helix region		
PYR75210.1	hypothetical protein DMF86_16095		
PYR74147.1	signal peptide protein		
PYR74071.1	hypothetical protein DMF87_23955		
PYR73504.1	hypothetical protein DMF86_20320		
PYR72451.1	hypothetical protein DMF87_27980, partial		
PYR71224.1	DUF1080 domain-containing protein		
PYR70658.1	hypothetical protein DMG20_04845		
PYR69786.1	hypothetical protein DMF88_04960		
PYR65843.1	6-bladed beta-propeller		
PYR59481.1	lectin		
PYR59070.1	phage tail protein		
PYR58604.1	right-handed parallel beta-helix repeat-containing protein		
PYR56371.1	Right handed beta helix region		
PYR48929.1	glyoxalase		
PYR48002.1	acetyl-CoA carboxylase		
PYR47520.1	ABC transporter substrate-binding protein		
PYR46878.1	gluconolactonase		
PYR43083.1	hypothetical protein DMF93_04055		
PYR37274.1	hypothetical protein DMF93_18205		
PYR36442.1	NIPSNAP family protein		
PYR33562.1	hypothetical protein DMF90_20345		
PYR32926.1	hypothetical protein DMF92_00515		
PYR32770.1	heme-binding protein		
PYR31851.1	hypothetical protein DMF92_04045		
PYR31394.1	NHL repeat-containing protein		
PYR31302.1	heme-binding protein		
PYR31301.1	heme-binding protein		
PYR29928.1	hypothetical protein DMF92_10225		
PYR29054.1	amidase		
PYR28889.1	gluconolactonase		
PYR26861.1	amidase		
PYR26308.1	rod shape-determining protein RodA		
PYR25892.1	carboxypeptidase regulatory-like domain-containing protein		
PYR23920.1	DUF4331 domain-containing protein		
PYR23201.1	lectin		
PYR22804.1	hypothetical protein DMF94_03415		
PYR15072.1	RidA family protein		
PYR07909.1	hypothetical protein DMG04_12005		
PYR07878.1	hypothetical protein DMF99_21175		
PYR05509.1	DUF1080 domain-containing protein		
PYQ93142.1	gluconolactonase		
PYQ85720.1	hypothetical protein DMG02_27245		
PYQ78530.1	rod shape-determining protein RodA		
PYQ71257.1	SRPBCC family protein		
PYQ58795.1	Right handed beta helix region		
PYQ55450.1	endopeptidase		
PYQ54591.1	DNA mismatch repair protein MutT		
PYQ45310.1	gluconolactonase		
PYQ35734.1	phage tail protein		
PYQ35732.1	phage tail protein		
PYQ27091.1	DUF4331 domain-containing protein		
PYQ26533.1	nucleoside-diphosphate sugar epimerase		
PYQ20994.1	hypothetical protein DMF81_16895		
PYQ09204.1	Right handed beta helix region		
PYQ05123.1	DUF1080 domain-containing protein		
PYQ04144.1	DUF3237 domain-containing protein		
PYQ02094.1	endopeptidase		
PYQ02008.1	enamine deaminase RidA		
PYQ01823.1	ABC transporter substrate-binding protein		
PYP99602.1	hypothetical protein DMF83_30260, partial		
PYP99482.1	cupin domain-containing protein		
PYP94747.1	RagB/SusD family nutrient uptake outer membrane protein		
PYP88299.1	Right handed beta helix region		
PYP84926.1	phage tail protein		
PYP83895.1	sugar ABC transporter substrate-binding protein		
PYP82658.1	phage tail protein		
PYP82656.1	phage tail protein		
PYP82434.1	phage tail protein		
PYP82433.1	phage tail protein		
PYP77554.1	DUF1080 domain-containing protein		
PYP75424.1	peptidase M23		
PYP73810.1	RagB/SusD family nutrient uptake outer membrane protein		
PYP72790.1	histidine phosphatase family protein		
PYP70010.1	hypothetical protein DMD41_15890		
PYP61390.1	quinonprotein alcohol dehydrogenase		
PYP59689.1	ABC transporter substrate-binding protein		
PYP44282.1	hypothetical protein DMD50_14820		
PYP40196.1	hypothetical protein DMD48_04370		
PYP38623.1	cytochrome P460		
PYN78504.1	ABC transporter substrate-binding protein		
PYN78404.1	hypothetical protein DMD96_21250		
PYN78365.1	hypothetical protein DMD96_21040		
PYN78272.1	hypothetical protein DMD97_06850		
PYN78249.1	polar amino acid ABC transporter substrate-binding protein		
PYN77652.1	hypothetical protein DMD96_23490		
PYN77384.1	ABC transporter substrate-binding protein		
PYN77110.1	hypothetical protein DMD97_10140		
PYN77101.1	sugar ABC transporter substrate-binding protein		
PYN75709.1	amino acid ABC transporter substrate-binding protein		
PYN74479.1	ABC transporter permease		
PYN73843.1	branched chain amino acid ABC transporter substrate-binding protein		
PYN73493.1	hypothetical protein DMD97_20410		
PYN73198.1	MBL fold metallo-hydrolase		
PYN72794.1	NIPSNAP family protein		
PYN72719.1	ABC transporter substrate-binding protein		
PYN72690.1	VOC family protein		
PYN72525.1	lactonase family protein		
PYN72358.1	Enamine deaminase RidA		
PYN71999.1	RidA family protein		
PYN71738.1	deaminase		
PYN71146.1	ABC transporter permease		
PYN70954.1	ABC transporter substrate-binding protein		
PYN68677.1	sugar ABC transporter substrate-binding protein		
PYN68640.1	hypothetical protein DMD90_04190		
PYN68180.1	Metallo-beta-lactamase superfamily protein		
PYN63411.1	cytochrome C nitrite reductase		
PYN62387.1	hypothetical protein DMD90_20445		
PYN61120.1	twin-arginine translocation signal domain-containing protein		
PYN59664.1	hypothetical protein DMD92_08475		
PYN59660.1	hypothetical protein DMD92_08455		
PYN58397.1	Leu/Ile/Val-binding protein		
PYN57099.1	hypothetical protein DMD92_14655		
PYN56190.1	hypothetical protein DMD92_16080		
PYN55714.1	ABC transporter substrate-binding protein		
PYN55144.1	ABC transporter substrate-binding protein		
PYN54851.1	cupin domain-containing protein		
PYN52128.1	hypothetical protein DME00_00365		
PYN51411.1	hypothetical protein DME00_02120		
PYN51364.1	ABC transporter substrate-binding protein		
PYN50671.1	Enamine deaminase RidA		
PYN50663.1	hypothetical protein DME00_04540		
PYN49952.1	bleomycin resistance protein		
PYN49279.1	hypothetical protein DME00_09515		
PYN49144.1	tricarboxylate transporter		
PYN48245.1	NmrA family transcriptional regulator		
PYN47362.1	hypothetical protein DME00_15980		
PYN47359.1	amino acid ABC transporter substrate-binding protein		
PYN46473.1	DUF1330 domain-containing protein		
PYN46329.1	amidase		
PYN45993.1	hypothetical protein DME00_20345		
PYN44982.1	hypothetical protein DMD95_09250		
PYN44981.1	hypothetical protein DMD95_09245, partial		
PYN44770.1	lectin		
PYN44582.1	ABC transporter substrate-binding protein		
PYN44223.1	DUF1080 domain-containing protein		
PYN43822.1	Leu/Ile/Val-binding protein		
PYN43469.1	hypothetical protein DMD95_13610		
PYN42921.1	1,4-butanediol diacrylate esterase		
PYN42805.1	short-chain dehydrogenase		
PYN42571.1	dehydrogenase		
PYN41936.1	hypothetical protein DMD95_18170		
PYN41786.1	hypothetical protein DMD95_18505		
PYN41309.1	hypothetical protein DMD95_19690		
PYN41260.1	hypothetical protein DME00_32190		
PYN40774.1	hypothetical protein DME00_33600		
PYN38414.1	ABC transporter substrate-binding protein		
PYN38412.1	hypothetical protein DME01_02560		
PYN37671.1	hypothetical protein DME01_04365		
PYN36038.1	tetratricopeptide repeat protein		
PYN35897.1	YncE family protein		
PYN35048.1	extracellular solute-binding protein		
PYN35012.1	6-phosphogluconolactonase		
PYN34621.1	hypothetical protein DMD98_10185		
PYN34136.1	hypothetical protein DMD98_11010		
PYN34040.1	extracellular solute-binding protein		
PYN33362.1	ABC transporter substrate-binding protein		
PYN32430.1	hypothetical protein DME01_21700		
PYN31706.1	heme-degrading domain-containing protein		
PYN31553.1	ABC transporter permease		
PYN31176.1	hypothetical protein DME01_24685		
PYN30461.1	branched chain amino acid ABC transporter substrate-binding protein		
PYN28350.1	MBL fold metallo-hydrolase		
PYN27885.1	hypothetical protein DMD99_01215		
PYN27611.1	hypothetical protein DMD80_10285		
PYN25465.1	tricarboxylate transporter		
PYN25070.1	hypothetical protein DMD99_09415		
PYN24242.1	hypothetical protein DMD99_11770		
PYN24180.1	PA-phosphatase		
PYN23622.1	hypothetical protein DMD76_16775		
PYN23375.1	amidase		
PYN22435.1	hypothetical protein DMD99_16865		
PYN22433.1	hypothetical protein DMD99_16855		
PYN22087.1	branched-chain amino acid ABC transporter substrate-binding protein		
PYN19939.1	deaminase		
PYN17944.1	branched-chain amino acid ABC transporter substrate-binding protein		
PYN17570.1	extracellular solute-binding protein		
PYN16714.1	SCP-2 family sterol carrier protein		
PYN16678.1	MBL fold metallo-hydrolase		
PYN15444.1	hypothetical protein DME05_11825		
PYN14538.1	ABC transporter permease		
PYN09378.1	NIPSNAP family protein		
PYN07392.1	hypothetical protein DME02_12055		
PYN06215.1	hypothetical protein DME02_16780		
PYN05637.1	hypothetical protein DME02_19015		
PYN04396.1	1,4-butanediol diacrylate esterase		
PYN03573.1	lectin		
PYN03428.1	RraA family protein		
PYN02449.1	sugar ABC transporter substrate-binding protein		
PYM96691.1	tricarboxylate transporter		
PYM96199.1	cupin domain-containing protein		
PYM95647.1	4,5-dihydroxyphthalate decarboxylase		
PYM94104.1	ABC transporter substrate-binding protein		
PYM93933.1	hypothetical protein DME04_10350		
PYM90749.1	enamine deaminase RidA		
PYM89849.1	Enamine deaminase RidA		
PYM87213.1	gluconolactonase		
PYM83123.1	hypothetical protein DME09_11860		
PYM81846.1	ABC transporter substrate-binding protein		
PYM79919.1	hypothetical protein DME13_24475		
PYM79227.1	branched-chain amino acid ABC transporter substrate-binding protein		
PYM78742.1	1,4-butanediol diacrylate esterase		
PYM78217.1	hypothetical protein DME03_01170, partial		
PYM78213.1	ABC transporter permease		
PYM77145.1	hypothetical protein DME03_06340, partial		
PYM76989.1	6-phosphogluconolactonase		
PYM76028.1	ABC transporter substrate-binding protein		
PYM75716.1	hypothetical protein DME10_03295		
PYM75541.1	hypothetical protein DME10_04005		
PYM75227.1	hypothetical protein DME03_11650		
PYM75160.1	hypothetical protein DME03_11845		
PYM74925.1	hypothetical protein DME16_16215		
PYM73460.1	ABC transporter substrate-binding protein		
PYM73243.1	hypothetical protein DME10_10565		
PYM73196.1	lectin		
PYM72791.1	4,5-dihydroxyphthalate decarboxylase		
PYM72263.1	hypothetical protein DMD77_04410		
PYM71941.1	hypothetical protein DME16_20565		
PYM71367.1	hypothetical protein DME03_19680		
PYM69894.1	hypothetical protein DME03_21760		
PYM69403.1	ABC transporter substrate-binding protein		
PYM68627.1	RraA family protein		
PYM68242.1	NIPSNAP family protein		
PYM67751.1	ABC transporter substrate-binding protein		
PYM67748.1	DUF4331 domain-containing protein		
PYM64807.1	dehydrogenase		
PYM64359.1	branched-chain amino acid ABC transporter substrate-binding protein		
PYM60183.1	hypothetical protein DMD79_16255		
PYM56874.1	ABC transporter substrate-binding protein		
PYM56573.1	hypothetical protein DME16_20550		
PYM54569.1	DUF4440 domain-containing protein		
PYM53568.1	cupin domain-containing protein		
PYM51167.1	heme-binding protein		
PYM48365.1	branched chain amino acid ABC transporter substrate-binding protein		
PYM47400.1	ABC transporter permease		
PYM45759.1	hypothetical protein DME16_16520		
PYM43255.1	hypothetical protein DME16_22920		
PYM40732.1	hypothetical protein DME12_14635		
PYM39753.1	sugar ABC transporter substrate-binding protein		
PYM38883.1	hypothetical protein DME17_02775		
PYM37966.1	peptidase M23		
PYM33815.1	branched-chain amino acid ABC transporter substrate-binding protein		
PYM31456.1	lectin		
PYM29065.1	ABC transporter permease		
PYM26908.1	DUF4440 domain-containing protein		
PYM26579.1	extracellular solute-binding protein		
PYM26097.1	deaminase		
PYM25331.1	EthD family reductase		
PYM23066.1	ABC transporter permease		
PYM21552.1	cupin domain-containing protein		
PYM19936.1	tricarboxylate transporter		
PYM19597.1	Tetratricopeptide TPR_1 repeat-containing protein		
PYM19578.1	histidinol phosphatase		
PYM18781.1	heme-binding protein		
PYM18277.1	RidA family protein		
PYM17706.1	TIGR03118 family protein		
PYM17698.1	cupin domain-containing protein		
PYM17675.1	ABC transporter permease		
PYM16723.1	hypothetical protein DMD81_11705		
PYM16461.1	hypothetical protein DMD81_12470		
PYM16040.1	hypothetical protein DMD81_13535		
PYM16010.1	ABC transporter substrate-binding protein		
PYM15907.1	sugar ABC transporter substrate-binding protein		
PYM15831.1	aldo/keto reductase		
PYM15276.1	hypothetical protein DMD81_15490		
PYM14696.1	hypothetical protein DMD81_17185		
PYM14335.1	hypothetical protein DMD81_18285		
PYM14209.1	cupin domain-containing protein		
PYM14152.1	hypothetical protein DMD81_18850		
PYM14014.1	VOC family protein		
PYM13006.1	4,5-dihydroxyphthalate decarboxylase		
PYM12973.1	gluconolactonase		
PYM11505.1	lactonase family protein		
PYM08701.1	MBL fold metallo-hydrolase		
PYM05278.1	hypothetical protein DMD82_11600		
PYM04792.1	hypothetical protein DMD82_13375		
PYL95050.1	cytoplasmic protein		
PYL91264.1	histidine phosphatase family protein		
PYL90928.1	NmrA family transcriptional regulator		
PYL82879.1	hypothetical protein DMF21_00995		
PYL77854.1	hypothetical protein DMF26_02565		
PYL67661.1	glyoxalase		
PYL66004.1	hypothetical protein DMF25_01685		
PYL42174.1	histidine phosphatase family protein		
PYL29424.1	hypothetical protein DMC59_06620		
PYL07560.1	hypothetical protein DME33_09990, partial		
PYK94521.1	hypothetical protein DME36_05615		
PYK85982.1	cupin domain-containing protein		
PYK55395.1	hypothetical protein DME48_04750		
PYK52806.1	2-aminomuconate deaminase		
PYK50124.1	hypothetical protein DME20_05030, partial		
PYK35888.1	hypothetical protein DME62_10530		
PYK24399.1	hypothetical protein DME59_13570		
PYJ60592.1	hypothetical protein DME24_08855		
PYJ42771.1	DUF305 domain-containing protein		
PYJ16574.1	hypothetical protein DME96_09310		
PYJ13606.1	histidine phosphatase family protein		
PYJ09769.1	MBL fold metallo-hydrolase		
PYJ09768.1	DUF1080 domain-containing protein		
PYJ04490.1	GlcNAc-PI de-N-acetylase		
PYJ00089.1	hypothetical protein DMF00_08970		
PYG38696.1	amino acid ABC transporter substrate-binding protein		
PYG21388.1	chromosome partitioning protein ParB		
PYF37478.1	ABC transporter substrate-binding protein		
PYE95440.1	SMP-30/gluconolactonase/LRE family protein		
PYE95317.1	sugar ABC transporter substrate-binding protein		
PYE88016.1	sugar ABC transporter substrate-binding protein		
PYE55180.1	DinB family protein		
PYE42225.1	putative SnoaL-like aldol condensation-catalyzing enzyme		
PYE20458.1	sugar ABC transporter substrate-binding protein		
PXX06316.1	DUF4331 domain-containing protein		
PXX04189.1	ABC transporter substrate-binding protein		
PXV78126.1	fasciclin		
PWU81959.1	ferredoxin family protein		
PWU59726.1	extracellular solute-binding protein		
PWU25678.1	gluconolactonase		
PWU24930.1	YCII-related protein		
PWU24519.1	Ferritin-like domain-containing protein		
PWU23977.1	hypothetical protein C5B48_07690		
PWU22164.1	hypothetical protein C5B48_10515		
PWU21308.1	lectin		
PWU20559.1	branched-chain amino acid ABC transporter substrate-binding protein		
PWU07674.1	Uncharacterised protein		
PWU06834.1	lectin		
PWU05453.1	Right handed beta helix region		
PWU04482.1	DUF4331 domain-containing protein		
PWU03423.1	hypothetical protein C5B51_19065		
PWT99231.1	DUF4399 domain-containing protein		
PWT93995.1	phage tail protein		
PWT93264.1	SMP-30/gluconolactonase/LRE family protein		
PWT92761.1	Right handed beta helix region		
PWT91691.1	NHL repeat-containing protein		
PWT90923.1	RidA family protein		
PWT88746.1	DUF1259 domain-containing protein		
PWT87820.1	hypothetical protein C5B55_14125		
PWT87795.1	DUF1254 domain-containing protein		
PWT86913.1	tripartite tricarboxylate transporter substrate binding protein		
PWT83723.1	YncE family protein		
PWT82636.1	MFS transporter		
PWT82145.1	glyoxalase		
PWT81381.1	NHL repeat-containing protein		
PWT78301.1	cupin domain-containing protein		
PWT71161.1	urea ABC transporter substrate-binding protein		
PWT70441.1	phage tail protein		
PWC97580.1	amino acid ABC transporter substrate-binding protein		
PWC94076.1	Amino acid/amide ABC transporter substrate-binding protein, HAAT family		
PWC87041.1	TMAO reductase system periplasmic protein TorT		
PWC84490.1	sulfate transporter		
PWC57080.1	Collagenase NC10 and Endostatin		
PWC41692.1	ABC transporter substrate-binding protein		
PWC31119.1	DUF1330 domain-containing protein		
PVY02527.1	carbohydrate ABC transporter substrate-binding protein		
PVX49199.1	receptor family ligand-binding protein		
PVU82536.1	sugar ABC transporter substrate-binding protein		
PTQ61222.1	hypothetical protein		
PTQ52783.1	carbohydrate ABC transporter substrate-binding protein		
PTQ09416.1	glyoxalase		
PTN36762.1	amino acid ABC transporter substrate-binding protein		
PTL80396.1	DUF1929 domain-containing protein		
PTL78989.1	endopeptidase		
PSL86019.1	carbohydrate ABC transporter substrate-binding protein		
PSL84681.1	ABC transporter permease		
PSL84342.1	amino acid ABC transporter substrate-binding protein		
PSL84323.1	amino acid ABC transporter substrate-binding protein		
PSL83981.1	Collagenase NC10 and Endostatin		
PSJ62277.1	sugar ABC transporter substrate-binding protein		
PSJ59934.1	carbohydrate ABC transporter substrate-binding protein		
PSC05967.1	DUF1259 domain-containing protein		
PSC05625.1	amino acid ABC transporter substrate-binding protein		
PSC04179.1	amino acid ABC transporter substrate-binding protein		
PRZ20184.1	ABC transporter substrate-binding protein		
PRY98016.1	amino acid ABC transporter		
PPL20368.1	phage tail protein		
POR49223.1	transporter substrate-binding domain-containing protein		
POR48068.1	amino acid ABC transporter substrate-binding protein		
POR07696.1	ABC transporter substrate-binding protein		
PNU02809.1	DUF1259 domain-containing protein		
PNE11198.1	DUF4331 domain-containing protein		
PMS24157.1	YciI family protein		
PMS23927.1	SDR family oxidoreductase		
PMS21130.1	YncE family protein		
PMS16843.1	cupin		
PLU63694.1	sugar ABC transporter substrate-binding protein		
PLS80544.1	amino acid ABC transporter substrate-binding protein		
PLS77528.1	sugar ABC transporter substrate-binding protein		
PLQ00347.1	tripartite tricarboxylate transporter substrate binding protein		
PLP97000.1	tripartite tricarboxylate transporter substrate binding protein		
PLP57281.1	fasciclin		
PLP57068.1	ABC transporter substrate-binding protein		
PLP57059.1	carbohydrate ABC transporter substrate-binding protein		
PKU26490.1	amino acid ABC transporter substrate-binding protein		
PKU21930.1	phosphate ABC transporter substrate-binding protein		
PJJ37540.1	Uncharacterized conserved protein		
PJJ37266.1	branched-chain amino acid ABC transporter substrate-binding protein		
PJJ37015.1	ABC transporter substrate-binding protein		
PJJ35094.1	ABC transporter substrate-binding protein		
PJJ34126.1	CHRD domain-containing protein		
PJJ32799.1	amino acid ABC transporter substrate-binding protein		
PJJ32301.1	ABC transporter substrate-binding protein		
